ID_POSTA,IME_POSTA
2310,SLOVENSKA BISTRICA
2311,HOČE
2312,OREHOVA VAS
2313,FRAM
2314,ZGORNJA POLSKAVA
2315,ŠMARTNO NA POHORJU
2316,ZGORNJA LOŽNICA
2317,OPLOTNICA
2318,LAPORJE
2319,POLJČANE
2321,MAKOLE
2322,MAJŠPERK
2323,PTUJSKA GORA
2324,LOVRENC NA DRAVSKEM POLJU
2325,KIDRIČEVO
2326,CIRKOVCE
2327,RAČE
2331,PRAGERSKO
2341,LIMBUŠ
2342,RUŠE
2343,FALA
2344,LOVRENC NA POHORJU
2345,BISTRICA OB DRAVI
2351,KAMNICA
2352,SELNICA OB DRAVI
2353,SV. DUH NA OSTREM VRHU
2354,BRESTERNICA
2360,RADLJE OB DRAVI
2361,OŽBALT
2362,KAPLA
2363,PODVELKA
2364,RIBNICA NA POHORJU
2365,VUHRED
2366,MUTA
2367,VUZENICA
2370,DRAVOGRAD
2371,TRBONJE
2372,LIBELIČE
2373,ŠENTJANŽ PRI DRAVOGRADU
2380,SLOVENJ GRADEC
2381,PODGORJE PRI SLOVENJ GRADCU
2382,MISLINJA
2383,ŠMARTNO PRI SLOVENJ GRADCU
2390,RAVNE NA KOROŠKEM
2391,PREVALJE
2392,MEŽICA
2393,ČRNA NA KOROŠKEM
2394,KOTLJE
2501,UPRAVNA ENOTA RS MARIBOR
2502,REPUBLIŠKA UPRAVA ZA JAVNE PRIHODKE MARIBOR
2503,OKRAJNO IN OKROŽNO SODIŠČE MARIBOR
2504,ČZP VEČER MARIBOR
2505,NOVA KREDITNA BANKA MARIBOR
2506,HENKEL ZLATOROG MARIBOR
2507,ZAVAROVALNICA MARIBOR MARIBOR
2508,JEKLOTEHNA MARIBOR
3000,CELJE
3001,CELJE - POŠTNI PREDALI
3201,ŠMARTNO V ROŽNI DOLINI
3202,LJUBEČNA
3203,NOVA CERKEV
3204,DOBRNA
3205,VITANJE
3206,STRANICE
3210,SLOVENSKE KONJICE
3211,ŠKOFJA VAS
3212,VOJNIK
3213,FRANKOLOVO
3214,ZREČE
3215,LOČE
3220,ŠTORE
3221,TEHARJE
3222,DRAMLJE
3223,LOKA PRI ŽUSMU
3224,DOBJE PRI PLANINI
3225,PLANINA PRI SEVNICI
3230,ŠENTJUR
3231,GROBELNO
3232,PONIKVA
3233,KALOBJE
3240,ŠMARJE PRI JELŠAH
3241,PODPLAT
3250,ROGAŠKA SLATINA
3252,ROGATEC
3253,PRISTAVA PRI MESTINJU
3254,PODČETRTEK
3255,BUČE
3256,BISTRICA OB SOTLI
3257,PODSREDA
3260,KOZJE
3261,LESIČNO
3262,PREVORJE
3263,GORICA PRI SLIVNICI
3264,SVETI ŠTEFAN
3270,LAŠKO
3271,ŠENTRUPERT
3272,RIMSKE TOPLICE
3273,JURKLOŠTER
3301,PETROVČE
3302,GRIŽE
3303,GOMILSKO
3304,TABOR
3305,VRANSKO
3310,ŽALEC
3311,ŠEMPETER V SAVINJSKI DOLINI
3312,PREBOLD
3313,POLZELA
3314,BRASLOVČE
3320,VELENJE
3322,VELENJE - POŠTNI PREDALI
3325,ŠOŠTANJ
3326,TOPOLŠICA
3327,ŠMARTNO OB PAKI
3330,MOZIRJE
3331,NAZARJE
3332,REČICA OB SAVINJI
3333,LJUBNO OB SAVINJI
3334,LUČE
3335,SOLČAVA
3341,ŠMARTNO OB DRETI
3342,GORNJI GRAD
3501,POŠTNA BANKA SLOVENIJE CELJE
3502,KOVINOTEHNA CELJE
3503,GORENJE VELENJE
3504,ERA VELENJE
4000,KRANJ
4001,KRANJ  - POŠTNI PREDALI
4201,ZGORNJA BESNICA
4202,NAKLO
4203,DUPLJE
4204,GOLNIK
4205,PREDDVOR
4206,ZGORNJE JEZERSKO
4207,CERKLJE NA GORENJSKEM
4208,ŠENČUR
4209,ŽABNICA
4210,BRNIK - AERODROM
4211,MAVČIČE
4212,VISOKO
4220,ŠKOFJA LOKA
4223,POLJANE NAD ŠKOFJO LOKO
4224,GORENJA VAS
4225,SOVODENJ
4226,ŽIRI
4227,SELCA
4228,ŽELEZNIKI
4229,SORICA
4240,RADOVLJICA
4243,BREZJE
4244,PODNART
4245,KROPA
4246,KAMNA GORICA
4247,ZGORNJE GORJE
4248,LESCE
4260,BLED
4263,BOHINJSKA BELA
4264,BOHINJSKA BISTRICA
4265,BOHINJSKO JEZERO
4267,SREDNJA VAS V BOHINJU
4270,JESENICE
4273,BLEJSKA DOBRAVA
4274,ŽIROVNICA
4275,BEGUNJE NA GORENJSKEM
4276,HRUŠICA
4280,KRANJSKA GORA
4281,MOJSTRANA
4282,GOZD MARTULJEK
4283,RATEČE-PLANICA
4290,TRŽIČ
4294,KRIŽE
4501,MERKUR KRANJ
4502,SAVA KRANJ
5000,NOVA GORICA
5001,NOVA GORICA - POŠTNI PREDALI
5210,DESKLE
5211,KOJSKO
5212,DOBROVO V BRDIH
5213,KANAL
5214,KAL NAD KANALOM
5215,ROČINJ
5216,MOST NA SOČI
5220,TOLMIN
5222,KOBARID
5223,BREGINJ
5224,SRPENICA
5230,BOVEC
5231,LOG POD MANGARTOM
5232,SOČA
5242,GRAHOVO OB BAČI
5243,PODBRDO
5250,SOLKAN
5251,GRGAR
5252,TRNOVO PRI GORICI
5253,ČEPOVAN
5261,ŠEMPAS
5262,ČRNIČE
5263,DOBRAVLJE
5270,AJDOVŠČINA
5271,VIPAVA
5272,PODNANOS
5273,COL
5274,ČRNI VRH NAD IDRIJO
5275,GODOVIČ
5280,IDRIJA
5281,SPODNJA IDRIJA
5282,CERKNO
5283,SLAP OB IDRIJCI
5290,ŠEMPETER PRI GORICI
5291,MIREN
5292,RENČE
5293,VOLČJA DRAGA
5294,DORNBERK
5295,BRANIK
5296,KOSTANJEVICA NA KRASU
5297,PRVAČINA
6000,KOPER - CAPODISTRIA
6001,KOPER - CAPODISTRIA -  POŠTNI PREDALI
6210,SEŽANA
6215,DIVAČA
6216,PODGORJE
6217,VREMSKI BRITOF
6219,LOKEV
6221,DUTOVLJE
6222,ŠTANJEL
6223,KOMEN
6224,SENOŽEČE
6225,HRUŠEVJE
6230,POSTOJNA
6232,PLANINA
6240,KOZINA
6242,MATERIJA
6243,OBROV
6244,PODGRAD
6250,ILIRSKA BISTRICA
6251,ILIRSKA BISTRICA - TRNOVO
6253,KNEŽAK
6254,JELŠANE
6255,PREM
6256,KOŠANA
6257,PIVKA
6258,PRESTRANEK
6271,DEKANI
6272,GRAČIŠČE
6273,MAREZIGE
6274,ŠMARJE
6275,ČRNI KAL
6276,POBEGI
6280,ANKARAN - ANCARANO
6281,ŠKOFIJE
6310,IZOLA - ISOLA
6320,PORTOROŽ - PORTOROSE
6330,PIRAN - PIRANO
6333,SEČOVLJE - SICCIOLE
6501,LUKA KOPER
6502,SPLOŠNA BANKA KOPER
6503,ADRIATIC KOPER
6504,INTEREUROPA KOPER
6505,EMONA OBALA KOPER
8000,NOVO MESTO
8001,NOVO MESTO - POŠTNI PREDALI
8210,TREBNJE
8211,DOBRNIČ
8212,VELIKA LOKA
8213,VELIKI GABER
8216,MIRNA PEČ
8220,ŠMARJEŠKE TOPLICE
8222,OTOČEC
8230,MOKRONOG
8231,TREBELNO
8232,ŠENTRUPERT NA DOLENJSKEM
8233,MIRNA
8250,BREŽICE
8251,ČATEŽ OB SAVI
8253,ARTIČE
8254,GLOBOKO
8255,PIŠECE
8256,SROMLJE
8257,DOBOVA
8258,KAPELE
8259,BIZELJSKO
8261,JESENICE NA DOLENJSKEM
8262,KRŠKA VAS
8263,CERKLJE OB KRKI
8270,KRŠKO
8272,ZDOLE
8273,LESKOVEC PRI KRŠKEM
8274,RAKA
8275,ŠKOCJAN
8276,BUČKA
8280,BRESTANICA
8281,SENOVO
8282,KOPRIVNICA
8283,BLANCA
8290,SEVNICA
8292,ZABUKOVJE
8293,STUDENEC
8294,BOŠTANJ
8295,TRŽIŠČE
8296,KRMELJ
8297,ŠENTJANŽ
8310,ŠENTJERNEJ
8311,KOSTANJEVICA NA KRKI
8312,PODBOČJE
8321,BRUSNICE
8322,STOPIČE
8323,URŠNA SELA
8330,METLIKA
8331,SUHOR
8332,GRADAC
8333,SEMIČ
8340,ČRNOMELJ
8341,ADLEŠIČI
8342,STARI TRG OB KOLPI
8343,DRAGATUŠ
8344,VINICA PRI ČRNOMLJU
8350,DOLENJSKE TOPLICE
8351,STRAŽA
8360,ŽUŽEMBERK
8361,DVOR
8362,HINJE
9000,MURSKA SOBOTA
9001,MURSKA SOBOTA  - POŠTNI  PREDALI
9201,PUCONCI
9202,MAČKOVCI
9203,PETROVCI
9204,ŠALOVCI
9205,HODOŠ - HODOS
9206,KRIŽEVCI
9207,PROSENJAKOVCI - PARTOSFALVA
9208,FOKOVCI
9220,LENDAVA - LENDVA
9221,MARTJANCI
9222,BOGOJINA
9223,DOBROVNIK - DOBRONAK
9224,TURNIŠČE
9225,VELIKA POLANA
9226,MORAVSKE TOPLICE
9227,KOBILJE
9231,BELTINCI
9232,ČRENŠOVCI
9233,ODRANCI
9240,LJUTOMER
9241,VERŽEJ
9242,KRIŽEVCI PRI LJUTOMERU
9243,MALA NEDELJA
9244,SV. JURIJ OB ŠČAVNICI
9245,SPODNJI IVANJCI
9246,RAZKRIŽJE
9250,GORNJA RADGONA
9251,TIŠINA
9252,RADENCI
9253,APAČE
9261,CANKOVA
9262,ROGAŠOVCI
9263,KUZMA
9264,GRAD
9265,BODONCI
9501,MURA - MURSKA SOBOTA
