ID_NACIN_STUDIJA,ZAP_ST,ID_VIS_ZAVOD_PRG,ID_PROGRAM_PRG,IME_PROGRAM
1,2,18,QH00,PRIMERJALNA KNJIŽEVNOST IN LITERARNA TEORIJA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QL00,RUSISTIKA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QS00,SPLOŠNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QN00,SLOVAKISTIKA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QJ00,PRIMERJALNO SLOVANSKO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,ZZ00,ARHEOLOGIJA  - ENOPREDMETNI UN
1,1,18,S2S0,BIBLIOTEKARSTVO IN INFORMATIKA - ENOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q300,GEOGRAFIJA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q500,ITALIJANSKI JEZIK IN KNJIŽEVNOST - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,Q200,FRANCISTIKA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,Q400,"GRŠKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,Q700,JAPONOLOGIJA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,Q900,KULTURE VZHODNE AZIJE - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QC00,NEMCISTIKA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QI00,PRIMERJALNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QF00,POLONISTIKA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QR00,SOCIOLOGIJA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QP00,SLOVENISTIKA - DVOPREDMETNI UN
1,1,18,ZT00,ANGLISTIKA - ENOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QQ00,ŠPANSKI JEZIK IN KNJIŽEVNOST - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QT00,UMETNOSTNA ZGODOVINA - DVOPREDMETNI UN
1,1,18,ZU00,ANGLISTIKA - DVOPREDMETNI UN
1,2,18,QV00,ZGODOVINA - DVOPREDMETNI UN
1,1,18,ZV00,ANTIČNI IN HUMANISTIČNI ŠTUDIJI - ENOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q200,FRANCISTIKA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q400,"GRŠKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q700,JAPONOLOGIJA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,Q900,KULTURE VZHODNE AZIJE - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QC00,NEMCISTIKA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QI00,PRIMERJALNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QF00,POLONISTIKA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QL00,RUSISTIKA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QS00,SPLOŠNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QN00,SLOVAKISTIKA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,1,18,ZX00,BOHEMISTIKA - DVOPREDMETNI UN
1,2,18,QJ00,PRIMERJALNO SLOVANSKO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,Q300,GEOGRAFIJA - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,Q500,ITALIJANSKI JEZIK IN KNJIŽEVNOST - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,Q800,JUŽNOSLOVANSKI ŠTUDIJI - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QA00,"LATINSKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QE00,PEDAGOGIKA IN ANDRAGOGIKA - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QH00,PRIMERJALNA KNJIŽEVNOST IN LITERARNA TEORIJA - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QL00,RUSISTIKA - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QS00,SPLOŠNO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QP00,SLOVENISTIKA - DVOPREDMETNI UN
1,1,18,TO00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  ENOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,1,18,YM00,ETNOLOGIJA IN KULTURNA ANTROPOLOGIJA -  DVOPREDMETNI UN
1,2,18,QJ00,PRIMERJALNO SLOVANSKO JEZIKOSLOVJE - DVOPREDMETNI UN
1,1,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,2,18,Q200,FRANCISTIKA - DVOPREDMETNI UN
1,1,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,2,18,Q400,"GRŠKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,2,18,Q500,ITALIJANSKI JEZIK IN KNJIŽEVNOST - DVOPREDMETNI UN
1,1,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,2,18,Q800,JUŽNOSLOVANSKI ŠTUDIJI - DVOPREDMETNI UN
1,1,18,Q000,FILOZOFIJA - DVOPREDMETNI UN
1,2,18,QA00,"LATINSKI JEZIK, KNJIŽEVNOST IN KULTURA - DVOPREDMETNI UN"
1,1,19,R200,UNIVERZITETNA POSLOVNA IN EKONOMSKA ŠOLA UN
2,1,19,R300,VISOKA POSLOVNA ŠOLA (LJUBLJANA) VS
1,1,20,ZI00,PRAVO UN
2,1,21,RJ00,DRUŽBOSLOVNA INFORMATIKA VS
1,1,21,RI00,SOCIOLOGIJA - KADROVSKI MENEDŽMENT UN
1,1,21,R700,POLITOLOGIJA  - ŠTUDIJE POLITIKE IN DRŽAVE UN
1,1,21,RG00,POLITOLOGIJA - ANALIZA POLITIK IN JAVNA UPRAVA UN
1,1,21,RH00,POLITOLOGIJA - OBRAMBOSLOVJE UN
1,1,21,RF00,NOVINARSTVO UN
1,1,21,RB00,KOMUNIKOLOGIJA - MEDIJSKE IN KOMUNIKACIJSKE ŠTUDIJE UN
1,1,21,RD00,KULTUROLOGIJA UN
1,1,21,R600,ANALITSKA SOCIOLOGIJA UN
1,1,21,R800,DRUŽBOSLOVNA INFORMATIKA UN
1,1,21,RE00,MEDNARODNI ODNOSI UN
1,1,21,R900,EVROPSKE ŠTUDIJE - DRUŽBOSLOVNI VIDIKI UN
1,1,21,RC00,KOMUNIKOLOGIJA - TRŽNO KOMUNICIRANJE IN ODNOSI Z JAVNOSTMI UN
1,1,22,VY00,ŠPORTNO TRENIRANJE UN
1,1,22,ZO00,KINEZIOLOGIJA UN
1,1,22,VX00,ŠPORTNA VZGOJA UN
1,1,23,TN00,STROJNIŠTVO UN
2,1,23,VQ00,STROJNIŠTVO (LJUBLJANA) VS
1,1,25,SU00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE ARHITEKTURA
2,1,26,TF00,OPERATIVNO GRADBENIŠTVO VS
1,1,26,VI00,GEODEZIJA IN GEOINFORMATIKA UN
2,1,26,TG00,TEHNIČNO UPRAVLJANJE NEPREMIČNIN VS
1,1,26,VH00,VODARSTVO IN OKOLJSKO INŽENIRSTVO UN
1,1,26,VG00,GRADBENIŠTVO UN
1,1,30,VL00,KEMIJSKO INŽENIRSTVO UN
1,1,30,VK00,KEMIJA UN
1,1,30,VJ00,BIOKEMIJA UN
2,1,30,VN00,KEMIJSKA TEHNOLOGIJA VS
1,1,30,VM00,TEHNIŠKA VARNOST UN
1,1,31,TC00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE FARMACIJA
1,1,31,WQ00,KOZMETOLOGIJA UN
1,1,31,TD00,LABORATORIJSKA BIOMEDICINA UN
1,1,32,S300,NAČRTOVANJE TEKSTILIJ IN OBLAČIL UN
1,1,32,S500,OBLIKOVANJE TEKSTILIJ IN OBLAČIL UN
2,1,32,S600,PROIZVODNJA TEKSTILIJ IN OBLAČIL VS
1,1,32,S400,GRAFIČNE IN INTERAKTIVNE KOMUNIKACIJE UN
2,1,32,S700,GRAFIČNA IN MEDIJSKA TEHNIKA VS
2,1,34,SB00,KMETIJSTVO - AGRONOMIJA  IN HORTIKULTURA VS
1,1,34,SA00,KMETIJSTVO - AGRONOMIJA UN
1,1,35,SN00,ŽIVILSTVO IN PREHRANA UN
1,1,35,SP00,MIKROBIOLOGIJA UN
2,1,36,SE00,GOZDARSTVO VS
1,1,36,SD00,GOZDARSTVO IN OBNOVLJIVI GOZDNI VIRI UN
1,1,37,TV00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE VETERINARSTVO
1,1,38,SC00,BIOLOGIJA UN
2,1,39,SH00,TEHNOLOGIJE LESA IN VLAKNATIH KOMPOZITOV VS
1,1,39,SG00,LESARSTVO UN
1,1,40,T300,KMETIJSTVO - ZOOTEHNIKA UN
2,1,40,SM00,KMETIJSTVO - ŽIVINOREJA VS
1,1,41,Z300,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE MEDICINA
1,1,41,Z400,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE DENTALNA MEDICINA
1,1,42,VD10,SLIKARSTVO - SMER SLIKARSTVO UN 
1,1,42,V900,KIPARSTVO UN
1,1,42,VA20,INDUSTRIJSKO IN UNIKATNO OBLIKOVANJE - SMER UNIKATNO OBLIKOVANJE  UN
1,1,42,VB40,OBLIKOVANJE VIZUALNIH KOMUNIKACIJ - SMER FOTOGRAFIJA UN 
1,1,42,VB10,OBLIKOVANJE VIZUALNIH KOMUNIKACIJ - SMER GRAFIČNO OBLIKOVANJE UN 
1,1,42,VD30,SLIKARSTVO - SMER VIDEO IN NOVI MEDIJI UN
1,1,42,VA10,INDUSTRIJSKO IN UNIKATNO OBLIKOVANJE - SMER INDUSTRIJSKO OBLIKOVANJE  UN
1,1,42,VB20,OBLIKOVANJE VIZUALNIH KOMUNIKACIJ - SMER ILUSTRACIJA UN 
1,1,42,VC00,KONSERVIRANJE IN RESTAVRIRANJE LIKOVNIH DEL UN
1,1,43,V4R0,SAKRALNA GLASBA UN
1,1,43,V300,GLASBENA PEDAGOGIKA UN
1,1,43,V460,ORGLE UN
1,1,43,V4B0,VIOLINA UN
1,1,43,V4D0,VIOLONČELO UN
1,1,43,V4A0,HARFA UN
1,1,43,V4F0,FLAVTA UN
1,1,43,V4G0,OBOA UN
1,1,43,V4J0,SAKSOFON UN
1,1,43,V4K0,TROBENTA UN
1,1,43,V4N0,TUBA UN
1,1,43,V400,GLASBENA UMETNOST UN
1,1,43,V440,PETJE UN
1,1,43,V410,KOMPOZICIJA IN GLASBENA TEORIJA UN
1,1,43,V430,ZBOROVSKO DIRIGIRANJE UN
1,1,43,V450,KLAVIR UN
1,1,43,V470,HARMONIKA UN
1,1,43,V4C0,VIOLA UN
1,1,43,V4E0,KONTRABAS UN
1,1,43,V490,KITARA UN
1,1,43,V480,ČEMBALO UN
1,1,43,V4P0,KLJUNASTA FLAVTA UN
1,1,43,V4H0,KLARINET UN
1,1,43,V4I0,FAGOT UN
1,1,43,V4L0,ROG UN
1,1,43,V4M0,POZAVNA UN
1,1,43,V4O0,TOLKALA UN
1,1,43,V420,ORKESTRSKO DIRIGIRANJE UN
1,1,44,V500,DRAMSKA IGRA UN
1,1,44,V710,FILM IN TELEVIZIJA - SMER FILMSKA IN TELEVIZIJSKA REŽIJA UN
1,1,44,V800,DRAMATURGIJA IN SCENSKE UMETNOSTI UN
1,1,44,V600,GLEDALIŠKA REŽIJA UN
1,1,44,V720,FILM IN TELEVIZIJA - SMER FILMSKO IN TELEVIZIJSKO SNEMANJE UN
1,1,44,V730,FILM IN TELEVIZIJA - SMER FILMSKA IN TELEVIZIJSKA MONTAŽA UN
1,1,47,SZ00,MATEMATIKA  UN
2,1,47,TH00,PRAKTIČNA MATEMATIKA VS
1,1,47,SX00,FINANČNA MATEMATIKA UN
2,1,47,VP00,FIZIKALNA MERILNA TEHNIKA VS
1,1,47,TJ00,METEOROLOGIJA Z GEOFIZIKO UN
1,1,47,TI00,FIZIKA UN
1,1,47,VO00,ENOVITI MAGISTRSKI ŠTUD. PROGRAM DRUGE STOPNJE PEDAGOŠKA MATEMATIKA
1,1,50,ZJ00,ENOVITI MAGISTRSKI ŠTUDIJSKI PROGRAM DRUGE STOPNJE TEOLOGIJA
1,1,50,ZK00,TEOLOŠKE IN RELIGIJSKE ŠTUDIJE (LJUBLJANA) UN
2,1,63,VU00,RAČUNALNIŠTVO IN INFORMATIKA VS
1,1,63,VT00,RAČUNALNIŠTVO IN INFORMATIKA UN
1,1,64,VE00,ELEKTROTEHNIKA UN
2,1,64,SS00,MULTIMEDIJSKE KOMUNIKACIJE (NOVA GORICA)  VS
2,1,64,VF00,APLIKATIVNA ELEKTROTEHNIKA VS
2,1,65,Z900,METALURŠKE TEHNOLOGIJE VS
1,1,65,Z800,INŽENIRSTVO MATERIALOV UN
2,1,66,Z700,GEOTEHNOLOGIJA IN RUDARSTVO VS
1,1,66,SY00,GEOTEHNOLOGIJA IN RUDARSTVO UN
1,1,67,Z600,GEOLOGIJA UN
1,1,71,S900,BIOTEHNOLOGIJA UN
1,1,74,VV00,RAČUNALNIŠTVO IN MATEMATIKA UN
1,1,85,SF00,KRAJINSKA ARHITEKTURA UN
1,1,110,Z200,UPRAVNA INFORMATIKA UN
1,1,115,ML00,MULTIMEDIJA UN
